Potential,D_inner_T1,D_inner_T2,D_inner_T3,D_inner_T4,D_inner_T5,D_outer_T1,D_outer_T2,D_outer_T3,D_outer_T4,D_outer_T5
2.4,30.15,30.75,30.89,31.14,31.04,56.31,58.1,57.62,58.22,58.57
2.6,30.01,30.96,30.71,30.96,30.53,54.03,54.99,54.73,54.32,55.05
2.8,27.79,28.41,28.05,27.65,31.45,51.88,48.54,52.15,52.23,52.59
3,27.9,26.27,28.48,28,30.1,48.85,49.77,50.07,49.15,49.24
3.2,26.82,26.55,28.13,26.1,26.32,47.34,47.34,49.39,49.25,47.5
3.4,27.95,27.68,27.74,27.29,27.65,47.68,48.03,48.29,47.36,47.65
3.6,26.94,26.87,26.63,26.94,27.05,46.95,46.46,46.02,46.3,46.01
3.8,25.92,26.35,26.37,26.76,26.9,45.35,45.32,45.72,45.12,45.46
4,24.17,25.32,25.69,24.11,22.71,43.43,43.14,43.37,44.15,43.15
4.2,23.74,24.69,23.98,23.68,23.66,43.15,42.79,42.38,42.11,43.15
4.4,22.86,20.94,23.58,22.94,22.38,40.21,40.94,42.71,40.86,41.47
4.6,22.67,22.86,22.35,21.1,24.82,39.78,40.53,39.78,41.9,39.16